title,genre,release_date,cast,directors,genres,movie_tone,plot
Diler Jagar,"Action, Adventure, Drama",1931-10-04,['G.P. Pawar'],['S.S.Agarwal'],"['Action', 'Adventure', 'Drama']","['uplifting', 'tense', 'serious']","This silent film opens with shots of a hand distributing charity from a silver plate to a waiting crowd and tells of the good king of Magadh's fight with his evil ministers. The king is poisoned by his brother, the evil Kalsen and the infant prince Chandrapratab, smuggled out by the loyal sardar Satyapal, grows up in a forest to become the acrobat Hamir (Hamir) in love with his partner, the beautiful Saranga (Pawar, credited as 'Ambu'). Saranga is kidnapped by Kalsen's son Ramanaraj , described as 'the perfect libertine', but Kalsen takes her away from his son and attempts to seduce Saranga with promises of wealth. The fearless Hamir fights dozens of soldiers, in amateurishly staged fights, trying to liberate her. In the end Saranga, rejected by her lover for having been tempted by Kalsen's promises of wealth, dons a mask and turns into a Zorr-type avenger. Hamir is eventually recognized by the royal tattoo on his shoulder and restored to the throne as well as reunited with Saranga."
Madhuri,"Drama, Action, Adventure",1932-01-01,['G. Mohanial Dave'],['R.S. Choudhury'],"['Drama', 'Action', 'Adventure']","['tense', 'serious', 'dark']","The story follows a kind princess, facing danger from an evil prince, while a brave warrior helps her and they fell in love, but face unknown dangers."
Madhuri,"Drama, Action, Adventure",1932-01-01,['G. Mohanial Dave'],['R.S. Choudhury'],"['Drama', 'Action', 'Adventure']","['tense', 'serious', 'dark']","The Gupta period depicts battles between Ujjain and Kanauj kingdoms, featuring Amber, Prince Tikka, and Madhuri, who defeats Kanauj's commander and rescues Amber."
Draupadi,Drama,1932-12-31,['Bhagwati Prasad Mishra'],['Bhagwati Prasad Mishra'],['Drama'],"['neutral', 'serious', 'emotional']",Draupadi (The Daughter Of King Drupad) is a 1931 sound film from Indian cinema.
Aurat Ka Pyaar,Drama,1933-01-01,"['Anwari', 'Ali Athar', 'Bachan']",['Abdul Rashid Kardar'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Ali Athar and Anwari Begum.
Miss 1933,"Crime, Drama",1933-01-01,"['Gohar Jan', 'Mehtab', 'Eddie Billimoria']",['Chandulal Shah'],"['Crime', 'Drama']","['neutral', 'serious', 'emotional']",A classic modernization melodrama exploring the consequences of female autonomy.
Indira M.A.,Drama,1934-01-01,['G. Mohanial Dave'],['Nandlal Jaswantlal'],['Drama'],"['neutral', 'serious', 'emotional']","A girl with an MA from Oxford rejects an 'idiot' chosen by her alcoholic father, and falls for the playboy."
Society's Mistake,"Drama, Crime",1934-01-01,['Munshi Zameer'],['Homi Master'],"['Drama', 'Crime']","['neutral', 'serious', 'emotional']",Unusually violent film for its time advocating widow's right to remarry.
Seeta,Drama,1934-12-30,"['Mukhtar Begum', 'Dhiraj Bhattacharya', 'Gul Hamid']",['Debaki Kumar Bose'],['Drama'],"['neutral', 'serious', 'emotional']","Seeta was a 1933 Indian talkie Bengali film, directed by Debaki Bose and produced by the East India Film Company.[1] It won an honorary diploma in the 2nd Venice International Film Festival in 1934, becoming the first Indian talkie to be shown at an international film festival."
The Mill,Drama,1934-12-31,"['Mohan Dayaram Bhavnani', 'Munshi Premchand']",['Mohan Dayaram Bhavnani'],['Drama'],"['neutral', 'serious', 'emotional']",A realistic treatment of industrial working-class conditions in a Bombay textile mill.
Wedding Night,"Horror, Thriller, Romance",1935-01-01,"['Nargis', 'S.B. Nayampalli', 'Fatty Prasad']",['Mohan Dayaram Bhavnani'],"['Horror', 'Thriller', 'Romance']","['scary', 'tense', 'dark']","The Story revolves around the life of a kind and sweet girl living with her family and her family wanted a fortune for her and arranged her marriage with a kind man and they meet before their marriage and fells in love with each other- but things get complicated in their wedding night- which causes their life into trouble- but fate plays its role, leading to consequences."
Anarkali,Drama,1935-01-01,"['Dinshaw Billimoria', 'Jillo', 'Ruby Mayer']",['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Ruby Myers.
Anarkali,Drama,1935-01-01,"['Dinshaw Billimoria', 'Jillo', 'Ruby Mayer']",['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Ruby Myers.
Anarkali,Drama,1935-01-01,"['Dinshaw Billimoria', 'Jillo', 'Ruby Mayer']",['R.S. Choudhury'],['Drama'],"['neutral', 'serious', 'emotional']","Based on a popular historical legend, Prince Salim has a passionate love affair with a beautiful, sassy commoner."
Judgement of Allah,History,1935-01-01,"['Mehboob Khan', 'Munshi Ehsan Lucknowi']",['Mehboob Khan'],['History'],"['neutral', 'uplifting']","A classic period movie. It is set in the Ottaman empire where Caesar's Roman armies clash with the Muslim kingdoms. Ziyad, the son of the sultan, is captured by the Romans. Rahil, a Roman princess, falls in love with him and asks the Muslim woman Leila to guard him. Leila smuggles a message written in her blood to the sultan."
Inquilab,Drama,1935-01-01,['Debaki Kumar Bose'],['Debaki Kumar Bose'],['Drama'],"['neutral', 'serious', 'emotional']","A drama set amid an earthquake in Bihar. Miss Renee (Khote) looks after the victims while her lover, the businessman Sardar (Mohanned), wants to make money from the disaster."
Jawani Ki Hawa,"Romance, Crime, Thriller",1935-01-01,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],"['Romance', 'Crime', 'Thriller']","['tense', 'suspenseful', 'neutral']","Kamala elopes on her wedding day with her childhood friend Ratanlal. Her father Manganlal chases the couple and catches them on a train. His furious exchanges with Ratanlal are interrupted by gunfire and in the mysterious gloom of the evening a body is thrown off the train. The suspects are Ratanlal, who cannot furnish an alibi, Kamala, who insists on being the murderess, ex-convict Sukhdev, who confesses to the murder claiming robbery to be the motive, and the lunatic Tarachand, who also admits his guilt."
Dhoop Chhaon,Drama,1935-01-01,"['Nitin Bose', 'Sudarshan']",['Nitin Bose'],['Drama'],"['neutral', 'serious', 'emotional']","A remake of the Bengali film Bhagya Chakra, it was the first Hindi film to use playback singing. It was director Nitin Bose who came up with the idea of playback singing."
Dhoop Chhaon,Drama,1935-01-01,"['Nitin Bose', 'Sudarshan']",['Nitin Bose'],['Drama'],"['neutral', 'serious', 'emotional']","Concerned about the outbreak of plague in a distant rural village in India, Dr. D.D. Sinha asks a number of prominent doctors to go there and treat the ailing and prevent the disease from spreading. No one except his protégé, Dr. Paras, is prepared to go there. Dr. Paras travels there, works with the villagers to prevent the disease and treats the ailing, and is successful in preventing it's spreading to other communities. He meets with village belle, Lajwanti alias Lajjo, and both fall in love with each other."
Vengeance Is Mine,Drama,1935-01-02,"['Sabita Devi', 'Sitara Devi', 'Mehboob Khan']",['Sarvottam Badami'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Sitara Devi and Kumar.
Hunterwali,"Adventure, Action",1935-01-02,"['Joseph David', 'Homi Wadia', 'J.B.H. Wadia']",['Homi Wadia'],"['Adventure', 'Action']","['dark', 'neutral', 'exciting']","Preceded by a legend describing its heroine as a 'Brave Indian girl who sacrificed royal luxuries to the cause of her people and her country', the story opens with a prologue showing Krishnavati and her infant son being thrown out of the house in a thunderstorm by the wicked Prime Minister Ranamal who also killed her brother. 20 years later the now adult son, Jaswant, is hit by a royal motor car and given a bag of gold in compensation. His refusal of the gift attracts the admiration of Princess Madhuri. When the nasty Ranamal, who wants to marry her, imprisons her father the king, she becomes the masked Hunterwali, 'protector of the poor and punisher of evildoers', and performer of stunts like jumping over a moving cartand fighting 20 soldiers at once. She steals Jaswant's prize horse, Punjab, but returns it later. Jaswant chances upon a nude Hunterwali bathing in the river and after a long duel captures her and takes her to Ranamal to claim his reward."
Madam Fashion,"Drama, Music",1936-01-01,['Jaddanbai'],['Jaddanbai'],"['Drama', 'Music']","['neutral', 'serious', 'emotional']","About the modern girl of India. Fashion, fast cars, luxury and sexual freedom."
Miss Frontier Mail,Drama,1936-01-02,['J.B.H. Wadia'],['Homi Wadia'],['Drama'],"['serious', 'suspenseful', 'neutral']","Savita, aka Miss 1936, is an amateur hunter while her brother Jayant is an amateur film-maker. Their father, Maganlal, arrested for the murder of a station-master, is defended by their uncle Shyamlal, who is in fact the mysterious Signal X. Shyamlal causes a major train smash-up so as to promote his new airline. He then implicates hero Sundar, son of the railway president, in the crime. Savita overcomes the nasty Signal X, whose henchmen are caught on film by Jayant as they sabotage a bridge. Nadia indulges in extensive fist-fights, set to heavy sound effects, and a famous battle alongside Sundar atop a moving train."
Devdas,"Drama, Romance",1936-01-22,"['Sarat Chandra Chattopadhyay', 'P.C. Barua', 'Kidar Nath Sharma']",['P.C. Barua'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Devdas, the son of a zamindar, and Parvati, his neighbour's daughter, are childhood sweethearts. However, class and caste differences prevent their marriage. Devdas is sent off to Calcutta, while Paro is married off to an aged rich widower. In Calcutta, as remorse drives him to alcohol, Devdas meets Chandramukhi, a tawaif."
Devdas,"Drama, Romance",1936-01-22,"['Sarat Chandra Chattopadhyay', 'P.C. Barua', 'Kidar Nath Sharma']",['P.C. Barua'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']",Childhood sweethearts grow up in a small village with a love-hate relationship which changes to love when they mature.
Devdas,"Drama, Romance",1936-01-22,"['Sarat Chandra Chattopadhyay', 'P.C. Barua', 'Kidar Nath Sharma']",['P.C. Barua'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","After his wealthy family prohibits him from marrying the woman he is in love with, Devdas Mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain."
Janmabhoomi,"Romance, Drama",1936-04-03,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],"['Romance', 'Drama']","['serious', 'neutral', 'heartwarming']","A nationalist rural drama. The plot has Ajau and his girl friend Protima working on behalf of Indian villagers, incurring the enmity of the local zamindar and the villainous Sanatan. Ajay's relentless goodness eventually persuades the zamindar to bequeath his property to the hero, and general well-being reigns as class conflict is transmuted into class collaboration. The film includes the nationalist song 'Jai jai janani janmabhoomi' and other choruses with a similar thrust."
Jeevan Naiya,Drama,1936-05-02,"['J.S. Casshyap', 'Niranjan Pal']",['Franz Osten'],['Drama'],"['neutral', 'serious', 'emotional']","Lata, daughter of a dancing girl, is brought up by social worker Mathuradas and is engaged to marry the rich Ranjit when the villain Chand arrives to blackmail her with her undisclosed ancestry. Lata is forced to disclose the truth to Ranjit and the assembled wedding guests. Ranjit disowns her but they are reunited when Ranjit, blinded by an explosion, is nursed back to health by a devoted woman who turns out to be his wife."
Untouchable Girl,"Drama, Music",1936-08-15,"['J.S. Casshyap', 'Niranjan Pal', 'Himanshu Rai']",['Franz Osten'],"['Drama', 'Music']","['serious', 'neutral', 'uplifting']","An ""untouchable"" girl and a Brahmin boy fall in love, but the strict caste system and the gossip of the villagers threaten to keep them apart."
Amar Jyoti,"Drama, Adventure, Action, Music",1936-08-15,"['K. Narayan Kale', 'Narottam Vyas']",['Shantaram Rajaram Vankudre'],"['Drama', 'Adventure', 'Action', 'Music']","['tense', 'serious', 'dark']","Faced with extreme patriarchal laws in an ancient seaport kingdom and denied the legal custody of her infant son, a young woman becomes a pirate declaring war on the state's tyrannical minister of justice."
Black Ghost,Horror,1937-01-01,"['Bashir', 'Bose', 'Gohar Karnataki']",['A.M. Khan'],['Horror'],"['dark', 'neutral', 'intense']",Indian horror movie from 1937
Gentleman Daku,"Action, Adventure",1937-01-01,['Leela Chitnis'],['Ram Daryani'],"['Action', 'Adventure']","['uplifting', 'tense', 'dark']","The story follows a brave man who rescues a sweet girl from criminals, and they fall in love. An incident causes trouble, leading to consequences for the family and the criminals."
Jeevan Swapna,"Drama, Music",1937-01-01,"['Mehtab', 'A. Hussain', 'Maruti Rao']",['Jaddanbai'],"['Drama', 'Music']","['neutral', 'serious', 'emotional']","""Journeys End"" a traditional tale told by one of the pioneers in Indian cinema, Jaddanbai Hussain (1892-1949)."
Duniya Na Mane,Drama,1937-01-07,"['Narayan Hari Apte', 'Munshi Aziz']",['Shantaram Rajaram Vankudre'],['Drama'],"['neutral', 'serious', 'emotional']",A young girl who is forced to marry an aging lawyer. She is implored to find a young husband before her would be husband snuffs the idea out.
President,Drama,1937-01-08,['Nitin Bose'],['Nitin Bose'],['Drama'],"['serious', 'neutral', 'uplifting']","Badi Bahen aka President is a 1937 Hindi social romantic drama film (the Bengali version was called Didi and starred several different actors). The story according to the credit roll of the film is ""A tale of love and greater love"" developed on an idea by M. M. Begg. It was a love triangle with a social content that highlighted the conditions of the mill workers. It was also the first film to show a liberated educated woman managing her own factory"
Prem Kahani,"Drama, Family, Romance",1937-10-13,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],"['Drama', 'Family', 'Romance']","['serious', 'neutral', 'heartwarming']",Two widowed sisters thwart a love match when they try to arrange marriages for their respective children.
Prem Kahani,"Drama, Family, Romance",1937-10-13,"['J.S. Casshyap', 'S.I. Hassan', 'Niranjan Pal']",['Franz Osten'],"['Drama', 'Family', 'Romance']","['serious', 'neutral', 'heartwarming']","Rajesh lives a delightful life as an apolitical poet in his college days, with his love Kamini and his best friend Dheeraj, a policeman. But when his brother is killed by the British Colonial Army, he abandons everything and becomes a revolutionary freedom fighter. Time passes and he becomes a symbol of the resistance with a bounty on his head. When unfortunate circumstances force an injured Rajesh into hiding, he finds himself taking refuge at Dheeraj's quarters and encounters his past when he meets Kamini again, as the wife of his best friend, while the British become more and more eager to crush all anti-colonial sentiments in India."
Zamana,"Drama, Romance",1938-01-01,"['Jeevan Dhar', 'Padmadevi']",['Ram Daryani'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","A married couple is overcoming social challenges and obstacles, with fate playing a pivotal role in their decisions."
Zamana,"Drama, Romance",1938-01-01,"['Jeevan Dhar', 'Padmadevi']",['Ram Daryani'],"['Drama', 'Romance']","['thought-provoking', 'serious', 'neutral']","Poona-based Satish is a professional photographer and lives with his pregnant wife, Sudha, and son named Vinod. While developing some photographs with his friend, Shyamlal, they come across one that shows a man strangling another. They report this to the police, and shortly thereafter several men show up at Satish's house, take the photos,the negative, kill Satish, then go to hunt and kill Sudha, Vinod and Shyamlal, but they manage to escape and travel to Bombay, albeit separately. Sudha gives birth to a boy and names him Ravi. Years later, Vinod, who lives with Shyamlal, is a police inspector, while Ravi, who has taken to a life of crime, works for a gangster/respectable citizen named J.D. alias Jogeshwar Dayal - a man who Shyamlal can identify as their father's killer, and the very man who has just given Ravi a contract to kill Vinod."
Bhabhi,"Family, Drama",1938-01-01,['Saradindu Bandopadhyay'],['Franz Osten'],"['Family', 'Drama']","['thought-provoking', 'serious', 'neutral']","The film is family social drama, which deals with the issue of young widows. It put a special focus on the Indian society's attitude towards them, and society's bigoted approach to ""man- woman relationships"""
Bhabhi,"Family, Drama",1938-01-01,['Saradindu Bandopadhyay'],['Franz Osten'],"['Family', 'Drama']","['thought-provoking', 'serious', 'neutral']",Shanta agrees to marry a lesser educated man.
Bhabhi,"Family, Drama",1938-01-01,['Saradindu Bandopadhyay'],['Franz Osten'],"['Family', 'Drama']","['thought-provoking', 'serious', 'neutral']",Bhabhi is the saga of an Indian woman Seeta who is tormented and tortured by her in-laws. Sita is the most hated member of the family and is subjected to both physical and verbal abuse. Her only support is her brother-in-law Amar who tries to protect her. Watch to know what happens when Seeta decides to teach her in-laws a lesson after the torture becomes unbearable.
Jailor,Drama,1938-01-01,"['Kamal Amrohi', 'J.K. Nanda']",['Sohrab Modi'],['Drama'],"['serious', 'neutral', 'uplifting']","Modi's first psychodramatic role as a liberal man becoming a tyrannical jailer. He loses his wife to a lover who then goes blind. The jailer locks up his wife, Kanwal, in their own home, forbidding any contact with their child, Bali. Later the jailer himself falls in love with a blind woman."
Street Singer,Drama,1938-02-04,"['Phani Majumdar', 'A.H. Shore']",['Phani Majumdar'],['Drama'],"['neutral', 'serious', 'emotional']",Two street urchins dream of singing and making it big in the glamorous world of theatre in Calcutta.
Professor Vaman M.Sc,"Science Fiction, Horror",1938-10-13,['Gunwantrai Acharya'],['Manibhai Vyas'],"['Science Fiction', 'Horror']","['dark', 'neutral', 'intense']","Using the moon’s rays, Professor Harnam invents a potion that turns man into a murderous beast. His brother Professor Vaman, realizing the dangers of this invention, realizes the urgent need of producing an antidote to avoid disaster. However, it is too late as Harnam’s daughter drinks the potion during a quarrel with her lover Detective Kishore and the city begins to witness a murder spree amongst its elite and wealthy citizens."
Nirmala,"Drama, Music",1938-10-14,['J.S. Casshyap'],['Franz Osten'],"['Drama', 'Music']","['neutral', 'serious', 'emotional']","Nirmala (Devika Rani) is a modern girl - young, beautiful, dressed in the latest fashions, attends college, and is even the only female in an all-male class. She doesn't take second place to the men, besting all but one in the annual exams. She tied with Ramdas (Ashok Kumar). But, at the same time she is tied to the age-old culture, traditions and religion. She yearns for a husband and for motherhood. And this conflict forms the crux of the story."
Sapera,Horror,1939-01-01,"['Lalchand Bismil', 'Debaki Kumar Bose', 'Kazi Nazrul Islam']",['Debaki Kumar Bose'],['Horror'],"['scary', 'tense', 'dark']",Adapted from a story by Kazi Nazrul Islam this film concerns love and revenge among a tribe of snake charmers led by Jahar (Nawab) who is searching for his 100th poisonous snake so as to show how he can magically cure its deadly bite.
Sapera,Horror,1939-01-01,"['Lalchand Bismil', 'Debaki Kumar Bose', 'Kazi Nazrul Islam']",['Debaki Kumar Bose'],['Horror'],"['scary', 'tense', 'dark']","In the holy city of Varanasi, 16-year-old Ali has one of the most dangerous jobs in the world – catching poisonous snakes. The boy balances life and death on a daily basis to support his family."
Brandy Ki Botal,Drama,1939-01-01,['Pralhad Keshav Atre'],['Vinayak Karnataki'],['Drama'],"['neutral', 'serious', 'emotional']","A clerk in a municipal office discovers brandy to save his boss's ill son, leading to adventures."
Meri Aankhen,Drama,1939-01-01,"['Khursheed', 'Mazhar Khan', 'Ishwarlal']",['Dwarka Khosla'],['Drama'],"['neutral', 'serious', 'emotional']",Film starring Khursheed and Sitara Devi
Leatherface,"Action, Adventure",1939-01-01,"['Batuk Bhatt', ""Sampatlal 'Anuj' Srivastava""]",['Vijay Bhatt'],"['Action', 'Adventure']","['uplifting', 'tense', 'dark']","In this stunt-film, Hero Samar (Jairaj) singlehandedly takes on the might of the oppressive state led by the warlord chief (M. Zahoor). He falls in love with the chief's sister Ila (Mehtab) and fights his revolution from the tavern of Dulari (Shirin) with little more than a band of adventurers, a leatherface mask, his faithful dog Tiger, and his horse Bahadur."
Kangan,Romance,1939-01-01,"['Saradindu Bandopadhyay', 'Gajendra Kumar Mitra', 'S. Mukherjee']",['Franz Osten'],['Romance'],"['neutral', 'uplifting', 'heartwarming']",Classic Bollywood film starring Leela Chitnis and Ashok Kumar.
Kangan,Romance,1939-01-01,"['Saradindu Bandopadhyay', 'Gajendra Kumar Mitra', 'S. Mukherjee']",['Franz Osten'],['Romance'],"['neutral', 'uplifting', 'heartwarming']","While helping her friend evade a blackmailer, a woman fears she might have committed manslaughter."
Kangan,Romance,1939-01-01,"['Saradindu Bandopadhyay', 'Gajendra Kumar Mitra', 'S. Mukherjee']",['Franz Osten'],['Romance'],"['neutral', 'uplifting', 'heartwarming']","While helping her friend evade a blackmailer, a woman fears she might have committed manslaughter."
